Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
MSI,126.09,-39.59,-7.57,7.43,17.95,112.57%,34.11%,Computers and Technology,22673360000.00,22.67,2.56,120.77,3/23/2020,187.49,133.37,4.22,32.75
CXO,41.64,-26.38,-2.12,3.05,13.47,-64.56%,72.62%,Oils-Energy,8428895000.00,8.43,0.8,33.13,3/18/2020,124.53,41.08,20.44,66.56
DTE,88.08,-23.59,-4.4,6.3,15.78,16.20%,2.99%,Utilities,18289512000.00,18.29,4.05,71.21,3/18/2020,135.67,99.43,19.15,35.08
IBM,105.14,-25.01,-0.71,12.81,8.82,-31.89%,-16.86%,Computers and Technology,98551104000.00,98.55,6.48,90.56,3/23/2020,158.75,112.93,13.87,33.77
SYK,144.67,-45.92,-8.38,8.26,19.73,77.61%,53.84%,Medical,62405116000.00,62.41,2.3,124.54,3/23/2020,226.3,162.96,13.91,36.07
MDT,84.11,-16.56,-2.71,5.55,16.59,15.72%,79.69%,Medical,120856168000.00,120.86,2.16,72.13,3/18/2020,122.15,92.05,14.24,31.14
MMM,133.14,-16.1,1.6,8.96,15.37,-18.29%,0.99%,Conglomerates,78500216000.00,78.50,5.88,114.04,3/23/2020,219.75,137.74,14.35,39.41
MPC,20.87,-26.55,-0.24,4.83,5.04,-52.96%,26.72%,Oils-Energy,15341286000.00,15.34,2.32,15.26,3/19/2020,69.65,24.33,26.88,70.04
PH,116.09,-68.68,-10.44,11.78,11.07,7.63%,8.36%,Industrial Products,16652532000.00,16.65,3.52,93,3/18/2020,215.94,130.35,19.89,46.24
PXD,67.77,-55.01,-4.54,8.19,8.12,-59.34%,84.06%,Oils-Energy,11624907000.00,11.62,1.1,48.62,3/18/2020,178.22,66.49,28.26,61.97
RL,65.69,-39.82,-4.91,8.25,8.64,-51.61%,-15.26%,Consumer Staples,4928178000.00,4.93,2.75,62.01,3/23/2020,133.63,71.26,5.60,50.84
