Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
A,70.42,-9.9,-0.49,3.17,21.74,65.99%,-26.04%,Computers and Technology,22384672000,22.38,0.72,61.13,3/16/2020,90.64,68.92,13.19,22.31,Computers and Technology
AAL,9.39,-8.46,-4.65,4.91,2.18,-78.92%,7.31%,Transportation,4286154000,4.29,0.4,9.09,4/3/2020,35.24,10.69,3.19,73.35,Transportation
AAP,84.65,-45.68,-10.95,8.2,10.87,-41.14%,-1.37%,Retail-Wholesale,6121331000,6.12,1,71.33,3/23/2020,182.56,89.17,15.74,53.63,Retail-Wholesale
AAPL,241.41,-47.91,-6.33,12.66,19.03,92.71%,42.33%,Computers and Technology,1.07169E+12,1071.69,3.08,170.27,6/3/2019,327.85,240.91,29.47,26.37,Computers and Technology
ABBV,73.37,-14.2,0.7,8.94,8.21,21.18%,66.66%,Medical,1.10942E+11,110.94,4.72,62.55,3/23/2020,97.86,73.42,14.75,25.03,Medical
ABC,81.34,-4.53,-0.44,7.24,11.91,-27.27%,50.20%,Medical,17272196000,17.27,1.68,70.55,4/22/2019,97.5,86.23,13.27,16.57,Medical
ABMD,141.4,-7.78,-3.84,4.21,34.32,106.60%,318.99%,Medical,6456625000,6.46,0,119.01,3/23/2020,288.09,144.48,15.83,50.92,Medical
ABT,79.45,1.46,4.89,3.24,23.63,68.48%,57.57%,Medical,1.40087E+11,140.09,1.44,61.61,3/23/2020,92.45,76.57,22.45,14.06,Medical
BA,124.52,-156.1,-37.48,5.2,25.13,-20.15%,-15.65%,Aerospace,69419744000,69.42,0,89,3/18/2020,398.66,130.7,28.53,68.77,Aerospace
ADBE,293.61,-54.73,-12.22,7.07,42.6,297.18%,169.38%,Computers and Technology,1.46448E+11,146.45,0,255.13,3/18/2020,386.74,301.21,13.11,24.08,Computers and Technology
ADI,86.56,-20.64,-2.11,4.84,17.37,36.52%,109.13%,Computers and Technology,32292892000,32.29,2.48,79.07,3/18/2020,127.3,84.09,8.65,32,Computers and Technology
