Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
DD,31.87,-11.77,-1.96,7.09,6.02,-53.66%,-63.02%,Chemical - Diversified,Basic Materials,23564296000.00,23.56,1.2,28.33,3/23/2020,83.66,11.10762473,61.9053311,42.6818,Undervalued,10.81,25.33
AIV,30.64,-18.89,-4.34,3.19,12.49,-19.01%,-7.12%,REIT - Equity Trust Resident,Finance,4563215000.00,4.56,1.64,24.53,3/24/2020,55.68,19.94125326,44.97126437,39.8431,Undervalued,9.20,23.10
XRX,16.9,-14.97,-0.76,4.31,4.29,-51.63%,-53.60%,Office Supply & Forms,Industrial Products,3596134000.00,3.60,1,15.01,3/19/2020,39.47,11.18343195,57.18267038,18.4899,Undervalued,1.59,8.60
AAPL,241.41,-47.91,-6.33,12.66,19.35,89.94%,42.33%,Computer - Mini,Computers and Technology,1056284608000.00,1056.28,3.08,170.27,6/3/2019,327.85,29.468539,26.36571603,244.971,Undervalued,3.56,1.45
MGM,10.58,-12.72,-1.61,0.74,15.55,-53.08%,27.95%,Gaming,Consumer Discretionary,5212671000.00,5.21,0.6,5.9,3/18/2020,34.63,44.23440454,69.4484551,11.507,Undervalued,0.93,8.06
WYNN,48.5,-53.94,-14.81,2.6,20.26,-64.34%,21.67%,Gaming,Consumer Discretionary,5214526000.00,5.21,4,35.84,3/18/2020,153.41,26.10309278,68.38537253,52.676,Undervalued,4.18,7.93
ABMD,141.4,-7.78,-3.84,4.21,34.03,103.89%,318.99%,Medical Instruments,Medical,6371907000.00,6.37,0,119.01,3/23/2020,288.09,15.83451202,50.91811587,143.2663,Undervalued,1.87,1.30
ABT,79.45,1.46,4.89,3.24,24.52,68.50%,57.57%,Medical Products,Medical,140104752000.00,140.10,1.44,61.61,3/23/2020,92.45,22.45437382,14.06165495,79.4448,Overvalued,-0.01,-0.01
ACN,152.15,-30.07,-10.73,7.67,20.37,60.68%,35.58%,Consulting,Business Services,96717488000.00,96.72,3.2,137.15,3/23/2020,216.39,9.85869208,29.68713896,156.2379,Undervalued,4.09,2.62
ADBE,293.61,-54.73,-12.22,7.07,42.99,283.65%,169.38%,Computer - Software,Computers and Technology,141461584000.00,141.46,0,255.13,3/18/2020,386.74,13.10582065,24.08077778,303.9393,Undervalued,10.33,3.40
FBHS,35.42,-27.4,-8.02,3.61,10.65,-23.23%,43.63%,Protection - Safety,Industrial Products,4948386000.00,4.95,0.96,33.9,3/23/2020,73.28,4.291360813,51.66484716,38.4465,Undervalued,3.03,7.87
ADM,34.65,-3.41,1.15,3.25,10.56,-27.75%,-20.38%,Agriculture Operations,Consumer Staples,19307258000.00,19.31,1.44,28.92,3/23/2020,47.2,16.53679654,26.58898305,34.32,Overvalued,-0.33,-0.96
ADP,128.57,-26.67,-2.81,5.77,22.8,48.91%,16.13%,Outsourcing,Business Services,55510616000.00,55.51,3.64,103.11,3/18/2020,182.32,19.80244225,29.48113208,131.556,Undervalued,2.99,2.27
DFS,28.53,-35.78,-9.88,9.08,3.41,-50.78%,45.55%,Finance - Consumer Loans,Finance,8796884000.00,8.80,1.76,23.25,3/19/2020,92.98,18.50683491,69.31598193,30.9628,Undervalued,2.43,7.86
ADSK,139,-41.55,-2.57,1.41,97.2,121.55%,30.34%,Computer - Software,Computers and Technology,30513418000.00,30.51,0,125.38,3/18/2020,211.58,9.798561151,34.30380943,137.052,Overvalued,-1.95,-1.42
RL,61,-45.43,-6.99,8.25,8,-55.84%,-15.26%,Textile - Apparel,Consumer Staples,4498262000.00,4.50,2.75,59.82,4/3/2020,133.63,1.93442623,54.35156776,66,Undervalued,5.00,7.58
VMC,99.21,-28.87,0,4.7,22.83,19.04%,64.62%,Building - CMT & CNT & AG,Construction,13150781000.00,13.15,1.36,65.56,3/18/2020,152.49,33.91795182,34.93999607,107.301,Undervalued,8.09,7.54
SYF,13.25,-15.62,-3.85,4.29,3.34,-56.69%,52.91%,Finance - Misc Services,Finance,8128570000.00,8.13,0.88,12.15,3/18/2020,38.18,8.301886792,65.29596647,14.3286,Undervalued,1.08,7.53
AFL,32.41,-10.92,-2.99,4.44,7.17,0.46%,-1.85%,Insurance - Accident & Health,Finance,23416580000.00,23.42,1.12,23.07,3/18/2020,57.18,28.81826597,43.31934243,31.8348,Overvalued,-0.58,-1.81
AGN,175.71,-16.23,2.71,17.64,10.06,-40.39%,23.17%,Medical - Generic Drugs,Medical,57808948000.00,57.81,2.96,114.27,6/17/2019,202.21,34.96670651,13.10518768,177.4584,Undervalued,1.75,0.99
