Symbol,Last,Debt/Equity,"Net Income(a)","% Insider","Market Cap","Earnings ttm","EPS Growth Prv Yr","EPS Growth Prv Qtr",Profit%,ROE%,PEG,"5Y Return","3Y Return","1Y Return"
A,70.42,0.38,1071000000,0.52%,21805622000,3.17,6.58%,-8.99%,20.7438,20.48%,N/A,61.70%,33.27%,-14.06%
AAL,9.39,N/A,1686000000,0.86%,4000694000,4.91,10.58%,-19.01%,3.6838,"-1,414.94%",N/A,-80.33%,-77.54%,-72.14%
AAP,84.65,0.78,486900000,4.70%,5860996000,8.2,40.17%,-21.90%,5.0149,16.41%,0.85,-43.64%,-40.41%,-50.70%
AAPL,241.41,1.04,55256000000,0.05%,1056284608000,12.66,19.38%,64.69%,21.2381,60.18%,1.81,89.94%,68.42%,23.58%
ABBV,73.37,N/A,7882000000,0.08%,108343504000,8.94,16.32%,-5.15%,23.6939,-162.54%,1.59,18.34%,11.95%,-11.69%
ABC,81.34,1.18,855370000,28.30%,16747174000,7.24,10.00%,9.32%,0.4763,49.95%,1.47,-29.48%,-7.17%,8.38%
ABMD,141.4,0,259020000,3.40%,6371907000,4.21,14.43%,7.77%,33.6639,19.53%,1.53,103.89%,12.68%,-50.38%
ABT,79.45,0.53,3687000000,1.70%,140104752000,3.24,17.28%,13.10%,11.5565,18.39%,2.66,68.50%,81.27%,-0.06%
ACN,152.15,0.17,4779110000,0.10%,96717488000,7.67,10.40%,-8.61%,11.0589,32.87%,1.99,60.68%,29.56%,-14.13%
ADBE,293.61,0.09,2951460000,0.31%,141461584000,7.07,40.88%,1.05%,26.42,33.54%,2.34,283.65%,125.47%,8.14%
ADI,86.56,0.44,1363010000,0.42%,31873122000,4.84,-22.56%,-13.45%,22.7507,15.38%,1.6,34.74%,8.19%,-21.19%
ADM,34.65,0.4,1379000000,1.11%,19307258000,3.25,61.36%,84.42%,2.1328,9.63%,N/A,-27.75%,-22.81%,-17.93%
ADP,128.57,0.25,2292800000,0.31%,55510616000,5.77,13.43%,13.43%,16.1747,46.96%,1.81,48.91%,25.81%,-20.19%
