Symbol,Last,Debt/Equity,Net Income(a),Income Billions,% Insider,Market Cap,Market Cap Billions,Earnings ttm,EPS Growth Prv Yr,EPS Growth Prv Qtr,Profit%,ROE%,PEG,5Y Return,3Y Return,1Y Return,3y to 5y growth,1y to 3y growth,1m change,5d change,div,delta from 52w low,delta from 52w high
CDNS,63.93,0.16,988980000,0.98898,2.58%,17911140000.00,17.91,3.53,574.29%,555.56%,42.3307,62.01%,4.44,235.41%,105.04%,-1.90%,130.37%,106.94%,-2.3,1.65,0,19.62,20.49
EA,102.83,0.14,1019000000,1.019,2.18%,29787180000.00,29.79,4.18,34.76%,254.93%,20.5859,18.87%,3.18,76.23%,15.89%,2.68%,60.34%,13.21%,-3.87,7.46,0,16.67,9.9
WAT,179.94,N/A,592200000,0.5922,1.14%,11184711000.00,11.18,9.07,11.50%,50.23%,24.6073,172.16%,2.6,43.07%,14.75%,-28.18%,28.32%,42.93%,-21.53,-5.42,0,14.2,29.42
PAYX,59.55,0.35,1034400000,1.0344,11.70%,21361478000.00,21.36,3.01,8.99%,38.57%,27.4195,41.68%,2.89,20.84%,2.34%,-26.55%,18.50%,28.89%,-19.51,-0.62,2.48,19.61,34.23
FTNT,101.44,0,326500000,0.3265,17.20%,17499920000.00,17.50,1.86,59.52%,36.73%,15.1424,27.51%,4.01,184.78%,171.09%,15.94%,13.69%,155.15%,-2.09,4.16,0,32.11,16.73
RMD,152.97,0.61,404590000,0.40459,1.22%,22122064000.00,22.12,3.98,21.00%,30.11%,15.5219,27.25%,2.46,104.45%,121.60%,48.51%,-17.15%,73.09%,-12.27,11.02,1.56,36.71,14.06
AMAT,42.28,0.57,2706000000,2.706,0.41%,38825932000.00,38.83,3.22,20.99%,22.50%,18.5241,36.15%,1.42,87.91%,8.61%,-0.35%,79.30%,8.96%,-15.76,-2.77,0.84,13.34,39.11
FB,154.18,0.09,18485000000,18.485,14.53%,439482208000.00,439.48,6.44,7.56%,20.75%,26.1468,19.97%,1.02,87.93%,9.52%,-11.16%,78.41%,20.68%,-31.71,-2.61,0,11.08,31.23
ALGN,154.2,0.03,442780000,0.44278,1.30%,12143711000.00,12.14,4.96,27.50%,19.53%,18.397,30.06%,1.48,184.03%,34.39%,-46.69%,149.64%,81.08%,-70.36,-22.84,0,17.07,53.92
BSX,31.17,0.62,4700000000,4.7,0.66%,43519396000.00,43.52,1.59,17.95%,17.95%,43.782,21.15%,2.02,72.21%,26.45%,-18.68%,45.76%,45.13%,-6.06,0.56,0,22.68,33.14
LLY,139.66,5.3,8318400000,8.3184,0.09%,133659936000.00,133.66,6.04,30.08%,16.89%,37.2697,192.27%,1.78,88.93%,63.69%,9.93%,25.24%,53.76%,9.35,5.55,2.96,27.42,5.55
PAYC,165.01,0.06,180580000,0.18058,16.09%,9710178000.00,9.71,2.94,41.82%,16.42%,24.4798,37.47%,2.24,419.39%,185.24%,-13.29%,234.15%,198.53%,-117.29,-43.93,0,0.96,51.75
AKAM,95.36,0.69,478040000,0.47804,2.40%,15437068000.00,15.44,3.55,17.65%,14.94%,16.5205,16.86%,1.99,33.46%,64.13%,29.83%,-30.67%,34.30%,5.08,4.75,0,24.15,7.72
ADP,128.57,0.25,2292800000,2.2928,0.31%,55510616000.00,55.51,5.77,13.43%,13.43%,16.1747,46.96%,1.81,48.91%,25.81%,-20.19%,23.10%,46.00%,-26.67,-2.81,3.64,19.8,29.48
ORCL,49.4,3.13,11083000000,11.083,36.60%,155787056000.00,155.79,3.47,14.10%,11.25%,28.054,64.68%,1.47,13.54%,11.54%,-8.62%,2.00%,20.16%,0.55,-0.43,0.96,19.62,18.35
MSFT,153.83,0.64,39240000000,39.24,1.39%,1170038144000.00,1170.04,5.4,37.27%,9.42%,31.1817,40.41%,2.14,268.72%,134.21%,28.22%,134.51%,105.99%,-10.68,4.13,2.04,23.04,19.33
