Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Low,High,Fair Value,Verdict,Delta,Potential Profit
A,74.03,-4.53,2.41,3.17,22.21,73.01%,-26.04%,Electronic Test Equipment,Computers and Technology,23025648000.00,23.03,0.72,61.13,3/16/2020,90.64,17.42536809,18.32524272,70.4057,Overvalued,-3.62,-5.15
AAL,10.22,-5.75,-1.97,4.91,1.91,-80.29%,7.31%,Transportation - Airline,Transportation,4047561000.00,4.05,0.4,9.09,4/3/2020,35.24,11.05675147,70.99886493,9.3781,Overvalued,-0.84,-8.98
AAP,99.44,-28.47,6.12,8.2,10.32,-36.04%,-1.37%,Retail - Wholesale Auto Parts,Retail-Wholesale,6633692000.00,6.63,1,71.33,3/23/2020,182.56,28.26830249,45.53023663,84.624,Overvalued,-14.82,-17.51
AAPL,259.43,-29.6,5.14,12.66,19.07,110.40%,42.33%,Computer - Mini,Computers and Technology,1148432256000.00,1148.43,3.08,170.27,6/3/2019,327.85,34.36765216,20.86929998,241.4262,Overvalued,-18.00,-7.46
ABBV,75.39,-13.43,-0.8,8.94,8.21,21.58%,66.66%,Large Cap Pharma,Medical,111828448000.00,111.83,4.72,62.55,3/23/2020,97.86,17.03143653,22.96137339,73.3974,Overvalued,-1.99,-2.71
ABC,87.2,1.39,-1.3,7.24,11.23,-23.37%,50.20%,Medical - Dental Suppliers,Medical,17766336000.00,17.77,1.68,70.55,4/22/2019,97.5,19.0940367,10.56410256,81.3052,Overvalued,-5.89,-7.25
ABMD,152.78,-4.3,7.62,4.21,33.59,123.30%,318.99%,Medical Instruments,Medical,6771165000.00,6.77,0,119.01,3/23/2020,286.5,22.10367849,46.67364747,141.4139,Overvalued,-11.37,-8.04
ABT,81.93,0.19,3.02,3.24,24.52,78.88%,57.57%,Medical Products,Medical,145888816000.00,145.89,1.44,61.61,3/23/2020,92.45,24.80165995,11.37912385,79.4448,Overvalued,-2.49,-3.13
ACN,164.12,-14.63,0.86,7.67,19.84,79.73%,35.58%,Consulting,Business Services,105553336000.00,105.55,3.2,137.15,3/23/2020,216.39,16.43309773,24.15546005,152.1728,Overvalued,-11.95,-7.85
ADBE,308.93,-27.84,-9.31,7.07,41.53,336.27%,169.38%,Computer - Software,Computers and Technology,153757152000.00,153.76,0,255.13,3/18/2020,386.74,17.41494837,20.1194601,293.6171,Overvalued,-15.31,-5.22
