Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Industry,Sector,Market Cap,,,Billions,Dividend(a),52W Low,52W Low Date,52W High,low,high,fair value,verdict,delta,potential profit
NFLX,422.96,103.21,52.24,4.13,106.34,430.21%,266.17%,Broadcast - Radio & TV,Consumer Discretionary,185597808000.00,,,185.597808,0,252.28,9/24/2019,449.52,40.35369775,5.908524649,439.1842,Undervalued,16.2242,3.694167504
FOXA,26.88,1.74,0.89,2.31,11.06,0.00%,0.00%,Broadcast - Radio & TV,Consumer Discretionary,16308609000.00,,,16.308609,0.46,19.81,3/23/2020,39.74,26.30208333,32.36034222,25.5486,Overvalued,-1.3314,-5.211244452
VMC,112.03,19.04,-1.07,4.7,22.6,34.22%,64.62%,Building - CMT & CNT & AG,Construction,14850136000.00,,,14.850136,1.36,65.56,3/18/2020,152.49,41.47996072,26.5328874,106.22,Overvalued,-5.81,-5.469779703
UAA,9.85,-0.02,-0.58,0.34,27.47,-76.14%,70.77%,Textile - Apparel,Consumer Staples,4450486000.00,,,4.450486,0,7.39,4/3/2020,27.72,24.97461929,64.46608947,9.3398,Overvalued,-0.5102,-5.46264374
SWK,112.54,21.63,-6.83,8.39,12.72,12.78%,27.37%,Machinery - Tools & Related,Industrial Products,17333972000.00,,,17.333972,2.76,70,3/23/2020,173.67,37.79989337,35.19894052,106.7208,Overvalued,-5.8192,-5.452732738
HOG,19.35,-3.44,-1.78,3.34,5.49,-66.19%,-13.92%,Auto - Domestic,Auto-Tires-Trucks,2963143000.00,,,2.963143,1.52,14.31,3/23/2020,41.4,26.04651163,53.26086957,18.3366,Overvalued,-1.0134,-5.526651615
NWS,9.17,-1.55,-0.52,0.33,26.36,-40.57%,17.49%,Movie & TV Production & Dist,Consumer Discretionary,5394390000.00,,,5.39439,0.2,7.88,4/2/2020,15.36,14.06761178,40.29947917,8.6988,Overvalued,-0.4712,-5.416839104
LYV,38.35,4.43,0.08,-0.07,0,47.56%,68.17%,Leisure & Recreation Services,Consumer Discretionary,8227264000.00,,,8.227264,0,21.7,3/18/2020,76.6,43.41590613,49.93472585,0,Overvalued,-38.35,#DIV/0!
VTR,31.29,10.27,-2.51,1.19,7.71,-57.03%,25.91%,REIT - Equity Trust Other,Finance,11666789000.00,,,11.666789,3.17,13.35,3/18/2020,75.4,57.3346117,58.50132626,9.1749,Overvalued,-22.1151,-241.0391394
REGN,568.79,77.1,55.83,21.46,25.16,18.48%,178.89%,Medical - Biomedical,Medical,62577132000.00,,,62.577132,0,271.37,9/27/2019,572.5,52.28994884,0.648034934,539.9336,Overvalued,-28.8564,-5.344434945
MA,259.97,22.09,-9.43,7.78,31.72,186.56%,78.22%,Financial Transaction Services,Business Services,261297920000.00,,,261.29792,1.6,199.99,3/23/2020,347.25,23.07189291,25.13462923,246.7816,Overvalued,-13.1884,-5.34415856
ATO,110.7,2.61,5.5,4.46,23.56,98.81%,-41.27%,Utility - Gas Distribution,Utilities,13539384000.00,,,13.539384,2.3,77.92,3/23/2020,121.08,29.61156278,8.5728444,105.0776,Overvalued,-5.6224,-5.350712236
TRV,105.07,8.66,-4.67,9.6,10.4,1.08%,16.27%,Insurance - Proprty & Casualty,Finance,26796108000.00,,,26.796108,3.28,76.99,3/18/2020,155.09,26.72504045,32.25224063,99.84,Overvalued,-5.23,-5.23838141
NLSN,13.26,-2.96,-0.88,1.67,7.54,-71.14%,3.34%,Business Information,Business Services,4726859000.00,,,4.726859,0.24,11.62,4/2/2020,26.5,12.36802413,49.96226415,12.5918,Overvalued,-0.6682,-5.306628123
ROST,91.72,22.16,2.98,4.58,19.04,75.74%,45.26%,Retail - Discount,Retail-Wholesale,32596096000.00,,,32.596096,1.14,56.3,3/18/2020,124.16,38.61753162,26.12757732,87.2032,Overvalued,-4.5168,-5.179626436
NWSA,8.9,-1.98,-0.59,0.33,25.56,-42.69%,17.49%,Movie & TV Production & Dist,Consumer Discretionary,5235559000.00,,,5.235559,0.2,7.9,4/2/2020,15.07,11.23595506,40.94226941,8.4348,Overvalued,-0.4652,-5.51524636
AIZ,105.81,13.31,-6.58,8.49,11.85,76.09%,-2.84%,Insurance - Multi Line,Finance,6329978000.00,,,6.329978,2.52,76.27,3/19/2020,142.61,27.91796617,25.80464203,100.6065,Overvalued,-5.2035,-5.172131025
KIM,8.92,-1.94,-1.9,0.8,5.77,-64.92%,16.60%,REIT - Equity Trust Retail,Finance,3857980000.00,,,3.85798,1.12,7.45,4/2/2020,21.86,16.47982063,59.19487649,4.616,Overvalued,-4.304,-93.24090121
DOV,88.49,7.36,-0.92,5.94,14.17,48.33%,-7.95%,Machinery - General Industrial,Industrial Products,12749991000.00,,,12.749991,1.96,62.95,3/23/2020,120.26,28.86201831,26.41776152,84.1698,Overvalued,-4.3202,-5.132719812
PHM,25.52,2.43,-0.82,3.6,6.74,26.84%,75.41%,Building - Residential & Comm,Construction,6889763000.00,,,6.889763,0.48,17.12,3/23/2020,47.37,32.9153605,46.12624024,24.264,Overvalued,-1.256,-5.17639301
O,52.37,-2.75,-4.31,1.4,14.96,6.08%,59.78%,REIT - Equity Trust Retail,Finance,17983754000.00,,,17.983754,2.8,38,3/19/2020,84.92,27.43937369,38.33019312,20.944,Overvalued,-31.426,-150.0477464
NUE,37.33,6.34,-2.1,4.23,8.39,-22.41%,7.03%,Steel - Producers,Basic Materials,11236331000.00,,,11.236331,1.61,27.52,3/18/2020,59.19,26.27913207,36.93191417,35.4897,Overvalued,-1.8403,-5.185448172
