Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
A,"Agilent Technologies",79.55,Average,Weak,Strengthening,4.08,+3.49%,+5.56%,-1.39%,49.33%,87.22%,2.30%,-26.04%
AAL,"American Airlines Gp",11.57,Weak,Average,Strengthening,2.55,+2.90%,+2.82%,+1.96%,-74.37%,-78.05%,-14.04%,7.31%
AAP,"Advance Auto Parts Inc",118.86,Average,Weak,Weakening,3.82,+1.45%,-9.91%,+4.24%,-19.05%,-20.02%,5.13%,-1.37%
AAPL,"Apple Inc",282.8,Average,Weak,Weakest,4.38,+6.69%,+3.81%,+3.80%,98.78%,117.07%,84.34%,42.33%
ABBV,"Abbvie Inc",83.45,Average,Weak,Strengthening,4,+1.75%,+2.26%,+3.88%,30.76%,26.31%,169.28%,66.66%
ABC,"Amerisourcebergen Corp",89.19,Soft,Weak,Strengthening,4,+1.90%,+7.98%,+7.65%,9.76%,-22.77%,78.59%,50.20%
ABMD,"Abiomed Inc",166.02,Strong,Soft,Strongest,4,+10.75%,+1.01%,unch,32.78%,141.20%,"1,141.38%",318.99%
ABT,"Abbott Laboratories",96.01,Maximum,Strong,Strengthening,4.53,unch,unch,+2.50%,120.56%,98.70%,42.11%,57.57%
ACN,"Accenture Plc",175.09,Soft,Weak,Strengthening,4.48,+4.50%,+1.75%,+2.66%,46.85%,87.46%,62.83%,35.58%
ADBE,"Adobe Systems Inc",344.11,Average,Weak,Weakening,4.55,+2.69%,+10.69%,+4.26%,161.64%,349.58%,763.16%,169.38%
ADI,"Analog Devices",102.8,Soft,Weak,Strengthening,4.47,-1.65%,+3.28%,+4.62%,32.42%,64.40%,115.48%,109.13%
ADM,"Archer Daniels Midland",37.19,Soft,Weak,Strengthening,4.25,+14.93%,-1.64%,-25.81%,-17.01%,-22.86%,1.25%,-20.38%
ADP,"Automatic Data Procs",141.08,Soft,Weak,Strengthening,3.27,+0.75%,+0.88%,+4.73%,37.38%,65.98%,73.57%,16.13%
ADS,"Alliance Data Systems Corp",37.86,Weak,Soft,Strongest,3.64,-1.38%,-10.29%,-5.59%,-85.41%,-87.69%,35.01%,5.25%
ADSK,"Autodesk Inc",180.94,Average,Weak,Strongest,4,-4.88%,-12.12%,-10.00%,104.27%,188.86%,130.77%,30.34%
AEE,"Ameren Corp",77.83,Soft,Weak,Strongest,4.45,+0.68%,-4.00%,+11.43%,41.28%,83.91%,39.58%,-2.36%
AEP,"American Electric Power Company",86.38,Soft,Weak,Strongest,4.31,+9.77%,+2.04%,+8.18%,27.29%,49.24%,23.62%,-8.57%
AES,"The Aes Corp",13.12,Weak,Soft,Weakening,4.83,+20.00%,-3.70%,-6.67%,15.29%,-2.53%,4.62%,-40.58%
AFL,"Aflac Incorporated",36.48,Weak,Weak,Weakening,3.38,+8.41%,+5.61%,+6.67%,-1.39%,13.66%,44.16%,-1.85%
AGN,"Allergan Plc",187,Soft,Weak,Weakening,3.14,unch,+0.92%,+6.76%,-20.88%,-36.70%,26.18%,23.17%
AIG,"American International Group",24.5,Weak,Soft,Strengthening,4.08,-43.43%,+22.22%,+47.66%,-58.57%,-57.01%,0.22%,-22.76%
AIV,"Apartment Investment and Management",39.15,Soft,Weak,Strengthening,3.42,+1.59%,-1.64%,unch,-11.33%,1.22%,570.21%,-7.12%
AIZ,"Assurant Inc",105.81,Weak,Weak,Strengthening,4.75,unch,+9.86%,+3.76%,11.73%,76.09%,42.50%,-2.84%
AJG,"Arthur J. Gallagher & Company",83.6,Weak,Soft,Weakening,4.27,+1.27%,+6.56%,+1.24%,50.33%,70.40%,52.72%,55.52%
AKAM,"Akamai Technologies",105.35,Maximum,Maximum,Strengthening,4.5,+14.47%,+3.90%,+11.39%,74.77%,39.09%,90.00%,47.34%
ALB,"Albemarle Corp",61.47,Weak,Soft,Strengthening,3.24,+2.68%,+9.93%,+1.65%,-41.51%,4.19%,43.81%,46.77%
ALGN,"Align Technology",193,Soft,Weak,Strengthening,4.17,+12.28%,+10.53%,+7.23%,62.95%,226.12%,180.23%,216.00%
ALK,"Alaska Air Group",29.93,Weak,Soft,Weakening,4.11,+0.38%,+2.84%,+30.77%,-66.41%,-56.18%,53.59%,63.58%
ALL,"Allstate Corp",104.92,Average,Weak,Strengthening,4.13,+12.70%,+47.30%,+0.44%,31.59%,47.88%,93.15%,26.78%
ALLE,"Allegion Plc",97.63,Soft,Soft,Strongest,3,+10.53%,-3.82%,+1.15%,25.31%,60.15%,96.39%,34.73%
ALXN,"Alexion Pharm Inc",103.48,Strong,Average,Strongest,4.35,+12.33%,+15.49%,+10.05%,-11.42%,-42.54%,109.91%,123.44%
AMAT,"Applied Materials",53.2,Soft,Weak,Strengthening,4.39,+5.26%,+5.71%,+6.06%,33.70%,144.04%,184.11%,61.02%
AMCR,"Amcor Plc",8.78,Weak,Weak,Weakening,3.75,N/A,N/A,unch,-6.60%,0.00%,35.56%,117.76%
AMD,"Adv Micro Devices",56.6,Maximum,Strong,Weakest,3.95,unch,-20.00%,+50.00%,335.38%,"2,360.87%",700.00%,22.25%
AME,"Amtek Inc",80.31,Soft,Weak,Strongest,4.64,+4.95%,+1.94%,+3.09%,46.44%,53.47%,73.14%,28.26%
