Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
VNO,38.15,8.49,-3.94,1.23,11.58,-51.09%,-26.98%,"REIT - Equity Trust Other",Finance,8035923000,2.64,27.64,03/23/20,70.45
CMG,808.73,242.73,64.65,14.07,55.92,28.67%,35.98%,"Retail - Restaurants",Retail-Wholesale,22810070000,0,415,03/18/20,940.28
ORCL,53.91,8.26,0.94,3.47,15.48,26.79%,3.22%,"Computer - Software","Computers and Technology",172248752000,0.96,39.71,03/12/20,60.5
MNST,61.38,9.28,1.85,2.03,30.48,31.59%,70.43%,"Beverages - Soft","Consumer Staples",33389562000,0,50.06,03/20/20,70.52
GOOG,1266.61,194.29,49.05,51.58,24.5,127.10%,145.23%,"Internet - Services","Computers and Technology",881958464000,0,1013.54,03/23/20,1532.11
NDAQ,109.78,29.28,6.49,5,21.66,129.03%,21.77%,"Securities Exchanges",Finance,18355934000,1.88,71.66,03/23/20,120.23
ZBH,117,31.02,8.98,7.87,13.89,-0.15%,70.80%,"Medical Products",Medical,24475388000,0.96,74.37,03/18/20,161.11
TMO,327.16,48.79,11.84,12.34,26.65,155.02%,51.23%,"Medical Instruments",Medical,132243384000,0.88,250.21,03/23/20,342.26
GLW,20.44,1.58,0.03,1.75,11.34,-7.99%,18.40%,"Communications Components","Computers and Technology",15801486000,0.88,17.44,03/23/20,34.91
DISH,22.21,2.24,0.21,2.6,8.21,-67.79%,-12.54%,"Cable TV","Consumer Discretionary",11779019000,0,17.09,03/18/20,44.65
SYY,49.61,14.28,2.56,3.72,12.3,32.64%,29.23%,"Food - Misc & Diversified","Consumer Staples",25583088000,1.8,26,03/18/20,85.98
COF,53.87,8.86,-2.63,12.08,4.14,-32.09%,41.46%,"Finance - Consumer Loans",Finance,24988910000,1.6,38,03/18/20,107.59
GOOGL,1261.15,192.94,50.74,51.58,24.38,122.95%,145.23%,"Internet - Services","Computers and Technology",879037504000,0,1008.87,03/23/20,1530.74
PM,76.86,15.77,2.91,5.2,14.5,-5.79%,-62.79%,Tobacco,"Consumer Staples",121391976000,4.68,56.01,03/23/20,90.17
IR,26.43,6.82,0.21,0.76,32.37,0.00%,-4.60%,"Machinery - General Industrial","Industrial Products",5501734000,0,17.01,03/18/20,38.96
BRK.B,188.75,18.69,-0.02,9.78,19.22,34.56%,30.79%,"Insurance - Proprty & Casualty",Finance,465762016000,0,159.5,03/23/20,231.61
NWSA,8.77,-0.25,-0.62,0.33,25.56,-42.69%,17.49%,"Movie & TV Production & Dist","Consumer Discretionary",5235559000,0.2,7.9,04/02/20,15.07
NOV,11.5,1.31,-0.53,-0.72,0,-78.47%,-60.45%,"Oil Field Machinery & Equip",Oils-Energy,4530563000,0.2,8,03/18/20,28.62
CAT,114.6,19.1,0.46,11.06,10.24,37.47%,-2.51%,"Machinery - Construct & Mining","Industrial Products",63974656000,4.12,87.5,03/12/20,150.55
EXPD,70.67,15.73,0.12,3.41,20.51,54.41%,24.54%,"Transportation - Services",Transportation,12051529000,1,52.55,03/23/20,81.64
SRE,122.57,22.93,-4.41,6.07,19.35,13.63%,-1.87%,"Utility - Gas Distribution",Utilities,36385388000,4.18,88,03/23/20,161.87
UPS,101.2,7.74,2.78,7.53,13.57,4.74%,27.24%,"Transportation - Air Freight",Transportation,88209536000,4.04,82,03/12/20,125.31
