Symbol,Name,Last,20D MA Str,50D MA Str,20D MA Dir,Analyst Rating,Surprise% 2-Qtrs Ago,Surprise% 3-Qtrs Ago,Surprise% 4-Qtrs Ago,3Y Return,5Y Return,5Y Earn%,5Y Rev%
VNO,Vornado Realty Trust,38.15,Weak,Soft,Weakest,3,2.30%,-3.19%,-13.19%,-48.27%,-51.09%,-35.21%,-26.98%
CMG,Chipotle Mexican Grill,808.73,Average,Soft,Weakest,3.64,19.37%,8.13%,12.96%,71.21%,28.67%,-0.57%,35.98%
ORCL,Oracle Corp,53.91,Soft,Soft,Weakest,3.62,2.56%,-1.39%,9.18%,22.93%,26.79%,15.75%,3.22%
MNST,Monster Beverage Cp,61.38,Soft,Weak,Weakest,4,1.85%,-5.36%,11.63%,37.01%,31.59%,120.65%,70.43%
GOOG,Alphabet Cl C,1266.61,Soft,Weak,Weakest,4.74,-19.49%,23.67%,12.58%,52.19%,127.10%,148.36%,145.23%
NDAQ,Nasdaq Inc,109.78,Average,Weak,Weakening,4,4.96%,2.52%,4.27%,59.12%,129.03%,73.61%,21.77%
ZBH,Zimmer Biomet Holdings,117,Soft,Weak,Strengthening,4.42,0.57%,0.52%,0.54%,-2.15%,-0.15%,29.87%,70.80%
TMO,Thermo Fisher Scientific Inc,327.16,Strong,Soft,Weakest,4.62,2.08%,1.00%,2.55%,113.87%,155.02%,77.44%,51.23%
GLW,Corning Inc,20.44,Weak,Soft,Strengthening,3.6,10.00%,2.27%,2.56%,-23.32%,-7.99%,15.03%,18.40%
DISH,Dish Network Corp,22.21,Weak,Soft,Strengthening,3.44,11.86%,-9.09%,unch,-62.22%,-67.79%,27.45%,-12.54%
SYY,Sysco Corp,49.61,Weak,Weak,Strengthening,3.67,1.03%,2.80%,12.86%,-3.62%,32.64%,101.70%,29.23%
COF,Capital One Financial Corp,53.87,Weak,Soft,Strengthening,4.2,15.68%,18.66%,8.21%,-33.92%,-32.09%,59.50%,41.46%
